,episodes,reward
873,174,10.0
874,174,49.0
875,175,20.0
876,175,11.0
877,175,12.0
878,175,17.0
879,175,16.0
880,176,7.0
881,176,9.0
882,176,14.0
883,176,7.0
884,176,17.0
885,177,19.0
886,177,17.0
887,177,16.0
888,177,15.0
889,177,12.0
890,178,10.0
891,178,15.0
892,178,7.0
893,178,17.0
894,178,23.0
895,179,20.0
896,179,6.0
897,179,8.0
898,179,16.0
899,179,37.0
900,180,14.0
901,180,12.0
902,180,7.0
903,180,13.0
904,180,24.0
905,181,12.0
906,181,5.0
907,181,6.0
908,181,18.0
909,181,25.0
910,182,26.0
911,182,9.0
912,182,13.0
913,182,12.0
914,182,14.0
915,183,33.0
916,183,14.0
917,183,23.0
918,183,15.0
919,183,21.0
920,184,28.0
921,184,6.0
922,184,7.0
923,184,7.0
924,184,13.0
925,185,11.0
926,185,10.0
927,185,12.0
928,185,7.0
929,185,27.0
930,186,25.0
931,186,32.0
932,186,7.0
933,186,16.0
934,186,21.0
935,187,14.0
936,187,9.0
937,187,8.0
938,187,35.0
939,187,9.0
940,188,26.0
941,188,11.0
942,188,31.0
943,188,12.0
944,188,33.0
945,189,10.0
946,189,10.0
947,189,8.0
948,189,27.0
949,189,16.0
950,190,8.0
951,190,15.0
952,190,12.0
953,190,7.0
954,190,21.0
955,191,17.0
956,191,12.0
957,191,7.0
958,191,16.0
959,191,17.0
960,192,10.0
961,192,7.0
962,192,17.0
963,192,21.0
964,192,25.0
965,193,17.0
966,193,16.0
967,193,6.0
968,193,18.0
969,193,14.0
970,194,14.0
971,194,9.0
972,194,9.0
973,194,11.0
974,194,17.0
975,195,17.0
976,195,10.0
977,195,10.0
978,195,16.0
979,195,36.0
980,196,12.0
981,196,6.0
982,196,6.0
983,196,16.0
984,196,12.0
985,197,19.0
986,197,15.0
987,197,22.0
988,197,10.0
989,197,19.0
990,198,51.0
991,198,7.0
992,198,8.0
993,198,5.0
994,198,13.0
995,199,12.0
996,199,11.0
